rating;rating_count;age;year;review_count;pages_count;price;name;author;link;text_reviews
4.0;139;12;2020;8;232 стр.;569.0;JavaScript для начинающих;Майк МакГрат;https://www.litres.ru/book/mayk-makgrat/javascript-dlya-nachinauschih-17254044/;"['Эта книга – неплохое введение в программирование на Java. В отличие от многих других книг по Java, она предлагает начать изучение с азов – чистого JDK, а не проектов в средах разработки NetBeans или Eclipse. Оказывается, для создания приложений с графическим интерфейсом пользователя достаточно простого текстового редактора.', 'Но есть у этой книги и существенный недостаток – это очень поверхностное объяснение сути языка Java, особенно тех моментов, которые касаются объектно-ориентированного программирования. В некоторый местах эта поверхностность балансирует на грани ошибочности, что может ввести в заблуждение начинающих программистов. Если профессиональные программисты легко отфильтруют эти неточности, то начинающим программистам для знакомства именно с языком Java и основами лучше обратиться к другим источникам (хотя бы в качестве дополнительных).', 'В целом изложение очень концентрированное, но наглядное и доступное. Для специалистов, которым нужно перейти с C++ на Java вполне подойдёт в качестве начального знакомства с технологией.', 'Отличная книга! Благодаря этой книге я узнал много нового о Java и о программировании в целом. Рекомендую к прочтению всем программистам-новичкам.', 'Примеры кода хорошие, простые и иллюстративные, но текст безобразный,\xa0– перевод точно такой, но думаю, что и оригинал не лучше. Пример:""В JavaScript объект promise представляет окончательное завершение или сбой асинхронной операции и ее результирующее значение"". Хочется спросить – «что я только что прочитал?». В общем и целом не рекомендовал бы.', 'Я программист 1С 11 лет, немного работал с VB6 и VBA, немного кодировал на Arduino (похоже по синтаксису на C). Решил изучить JavaScript, чтобы понять синтаксис языков основанных на С. Меня привлекло оформление, охват содержания.  В итоге, был разочарован, т.к. подача материала не для начинающих. Для понимания материала необходим опыт в каком-нибудь другом языке программирования. Кроме того, судя по выкручивающим мозг фразам, перевод сделан не профессионалом по программированию, а ""дядей Васей"", который как смог, так и перевёл. Перевод ужасный. Я сам пишу инструкции, по этому знаю, насколько важно точно и выверенно написать каждое предложение. Перевод - выносит мозг. Новичкам, однозначно, не рекомендую.', 'Очень не подходит для начинающих осваивать с азов , слишком  большой поток мыслей , а ведь надо вести за руку , а не талдычить, как на школьном уроке!']"
4.0;4;12;2023;0;27 стр. 5 иллюстраций;99.9;Справочник по нейронным сетям: от теории к практике;Виталий Александрович Гульчеев;https://www.litres.ru/book/vitaliy-aleksandrovic/spravochnik-po-neyronnym-setyam-ot-teorii-k-praktike-68908563/;[]
3.9;9;6;2021;1;41 стр. 39 иллюстраций;99.9;А ты готов опознавать котов? Нейросети и котики – детям;Максим Попов;https://www.litres.ru/book/alisa-popova/a-ty-gotov-opoznavat-kotov-neyroseti-i-kotiki-detyam-65803178/;['Фактически, это тянет максимум на пост где-нибудь на пикабу, не больше: минимум объяснений, один кусочек кода и… все. Ребёнка таким не заинтересовать. Тройка только за интригующее название ', 'Добрый день, Markv5!', '', 'Ответим по пунктам:', '1) «минимум объяснений, один кусочек кода и… все. Ребёнка таким не заинтересовать» – то есть Вы считаете, что ребенка нужно заинтересовывать фолиантом по нейросетям с вузовской математикой? Если у Вас есть дети, то Вы, наверное, заметили, что внимание ребенка довольно трудно удержать, и уж тем более – на сложном предмете. Авторами был намеренно выбран краткий, предельно сжатый стиль подачи «теоретической» информации – для детей она лишняя, они запомнят, скорее, картинки, чем термины и формулы. Поэтому вместо сухого долгого изложения дается простой, доступный каждому, эксперимент. Обратите внимание – дана даже ссылка для скачивания кода, чтобы ребенку не приходилось набирать его (этот исходный текст он поймет не раньше средней школы). Именно быстрый, простой, видимый результат и способен заинтересовать ребенка – поэтому в конец книги дан список уже более продвинутой литературы, но все еще детской, конечно. Хочется верить, что для кого-то книга станет отправной точкой в изучении программирования, электроники…', '2) хотелось бы поинтересоваться – Вы сами (с ребенком или без) выполнили все описанные в книге эксперименты? Что сказал ребенок, только честно? Ваш ребенок до этого неоднократно делал одноплатную систему с ИИ на базе Linux, поэтому ему было не интересно?', '3) и последнее – если Вы внимательно читали аннотацию, то заметили, что изначально проект по опознаванию котов выполнен ребенком (8 лет) для Фестиваля научно-технического творчества, где победил в двух номинациях. После этого в соавторстве именно с ребенком была написана данная книга. Вы продолжаете считать, что «ребенка этим не заинтересовать»? Да, каким-то детям интересны котики и собачки, а не нейросети и компьютеры, и это нормально, но не надо говорить за всех.', '', 'В любом случае, спасибо за то, что купили книгу, и за Ваш отзыв, он будет учтен при дальнейшей работе, над возможным вторым изданием. Нужно признать, что для детской книги нужно более яркое, живое оформление. У платформы Литрес.Самиздат есть некоторые технические ограничения, которые заставили авторов отказаться от ряда идей по дизайну.', '', 'С уважением,', 'авторы']
3.8;21;12;2018;5;39 стр. 2 иллюстрации;119.0;Задачник по PHP (с решениями);Роман Игоревич Григорьев;https://www.litres.ru/book/roman-igorevich-grigorev/zadachnik-po-php-s-resheniyami-30482497/;['Сырой, недоработанный сборник задач с сайтов по помощи php ( задачи один в один), с кучей ошибок, как в дано, так и в решениях', 'Никому не советую', 'Много ошибок! плохо читаемый код в условиях и решениях. Видимо герой данной книги копипаст-@утист! ', 'Никому не советую! всем лучи добра', 'Всем привет эту книгу я наткнулся нечаянно начал читать первую страницу и вижу всё там объясняется всё рассказывается и есть задачи. Как нужно решать !)', 'Arthur Mironovsky я обрадовался но потом ребята пишут что это нерабочая книга', 'Жаль потраченых денег. Книга содержит очень много ошибок и опечаток. Код, представленный в решениях зачастую нерабочий или реализация решения приводится через ж..пу, что ставит начинающих программистов на неправильный путь.', 'Не рекомендую данную книгу.', 'Хороший сборник задач, есть большое количество тематических задач, вариантов задач много, можно найти нужную задачу, всё по делу, ничего лишнего!']
5.0;1;12;2020;0;65 стр. 50 иллюстраций;99.9;Занимательное программирование – игры с текстом;Дмитрий Юрьевич Усенков;https://www.litres.ru/book/dmitriy-urevich-usenkov/zanimatelnoe-programmirovanie-igry-s-tekstom-63099338/;[]
4.3;3;16;2021;3;512 стр.;699.0;Грокаем машинное обучение (pdf + epub);Луис Серрано;https://www.litres.ru/book/luis-serrano-32912851/grokaem-mashinnoe-obuchenie-pdf-epub-70290604/;['Есть полезная информация, но многовато воды, часто излишне одно по одному. Я считаю количество страниц можно было вдвое сократить.', 'Книга охватывает довольно много алгоритмов машинного обучения, изложение очень доступное, какие-то вещи автор подаёт действительно очень просто и понятно. В целом, не пожалел что прочёл', 'Полезное издание, понятные термины и объяснения. Конечно цена высокая, но для деловой литературы это нормально. Советую к приобретению если тема машинного обучения актуальна для изучения']
4.1;89;0;2021;18;168 стр. 97 иллюстраций;599.0;Этой кнопке нужен текст. O UX-писательстве коротко и понятно;Кирилл Егерев;https://www.litres.ru/book/kirill-egerev/etoy-knopke-nuzhen-tekst-o-ux-pisatelstve-korotko-i-ponyatno-63613191/;"['Плюсы:', '', '1. Структурно написано, легко читается, забавный актуальный юмор. ', '2. Много картинок-примеров интерфейсов.', '3. Относительно уникальный и идущий в ногу со временем контент.', '', 'Минусы:', '', '1. Примеры в 3 главе не доведены до идеала. Кирилл неоднократно об этом предупреждает. Но даже делая скидку на специфичность возможного контекста (в работе читателя), хочется видеть уверенность от автора – вот так хорошо, вот так можно писать. Цитата:', '""Кажется, всё ещё что-то не так с предпоследним пунктом. Однако прямо сейчас можно сказать, что работа сделана."" ', 'Ну хз, прямо сейчас можно сказать, что я заплатил полную стоимость за неполное содержание.', '2. Некоторые картинки можно приблизить, а некоторые – нет. И это в книге про UX :(', '3. Книга на 170 страниц, с ценой как у аналогов в 500-1000 страниц. Чувствую себя обманутым, можно снизить ценник на треть. Или написать 3 небольшие статьи, вместо книги.', 'Ну что..Зашла на hh и обнаружила, что вакансий UX писателя почти нет! К профессии у нас пока что явно относятся с недоверием, но хочется верить, что после выхода этой книги всё изменится. Жаль, никакой литературы про UX не было год назад, когда мы переделывали наше мобильное приложение и сайт. Будет полезно прочитать не только копирайтерам, но и всем, кто работает над продуктом. Егерев очень наглядно показывает, как устроен мозг пользователя, вплоть до функций его моторики. Книгой довольна)', 'Мягко говоря книга не оправдала ожиданий. Все исправления, как примеры профессиональной работы – нечто несуразное. Не рекомендую даже новичкам. ', 'Да уж, конечно ощутимая разница когда вы всем офисом переводите англоязычные статьи по UX, и потом выходит целая книга. Есть конечно спорные моменты, например кейсы про сообщения об ошибке. Но тем не менее это супер важная книжка. Мастрид всем копирайтерам, которые хотят обучиться UX и понимать интерфейс.', 'Достойная книга для еще не очень понятного для России направления. Все что находила, только из американских источников. Автор понятно рассказывает, что же такое ux вообще и как с этим работать. Очень жду печатную версию.']"
4.1;14;12;2023;2;36 стр. 1 иллюстрация;99.9;Мир ChatGPT: Понимание и Применение Искусственного Интеллекта;Виталий Александрович Гульчеев;https://www.litres.ru/book/vitaliy-aleksandrovi/mir-chatgpt-ponimanie-i-primenenie-iskusstvennogo-int-69088657/;['Написана легко, доступным языком. Толковой информации к сожалению мало. Но для начала самое то. Рекомендую тем, кто только начинает изучение в данной сфере.', 'Это конечно невероятная технология, какой невероятный потенциал! Тут можно только сказать спасибо ИИ, что сам о себе рассказал.']
4.6;11;12;2017;3;791 стр. 2 иллюстрации;699.0;Карьера в IT. Как найти работу, прокачать навыки и стать крутым разработчиком;Джон Сонмез;https://www.litres.ru/book/dzhon-sonmez/karera-v-it-kak-nayti-rabotu-prokachat-navyki-i-stat-krutym-r-69394321/;"['Как и первая книга автора (""Путь программиста. Человек эпохи IT"", 2016) это объемное (790 страниц) издание однозначно бестселлер, настольная книга будущих и действующих программистов-разработчиков и IT-специалистов, желающих стать востребованными и высокооплачиваемыми специалистами. ', 'Простым и понятным языком, методично и достаточно лаконично рассматриваются хорошо структурированные вопросы этапов жизненного цикла = карьеры (старт - получение работы - разработки - развитие) разработчика ПО. Рассмотрены вопросы специализации при разработке ПО и жизни в социуме (просто будни :-) профессиональной разработки. Рассказывается с какими вопросами и задачами придётся столкнуться на разных этапах и даются полезные советы о преодолении различных сложностей роста квалифицированного разработчика.', 'Некоторые главы (особенно в разделах ""Будни разработчика"" и ""Развитие карьеры"") захочется и нужно будет перечитать потом, когда получите первую или n-ую работу и в процессе карьерного роста.', 'К сожалению, пара замечаний о книге. ', 'Издательство слишком долго решалось на перевод (но плюс за выбор опытного в IT переводах Михаила Райтмана). Оригинал книги на английском John Sonmez ""The Complete Software Developer’s Career Guide"" был издан в 2017 году. ', 'А с 2017 года Сонмез написал еще несколько интересных книг, посвященных вопросам карьеры и роста программистов-разработчиков и IT-специалистов, в том числе посвященных интервью и Soft Skills.', 'При переводе не были уточнены важные для книги отдельные интернет-ссылки. Например, YouTube канал автора с названием ""Simple Programmer"".', 'Книгу однозначно рекомендую как начинающим, так и желающим карьерного роста опытным разработчикам ПО и IT-решений.', 'P.S. 1. Не реклама, а отеческий совет тем, кто желает серьезно и методично строить свою карьеру именно в программировании и IT, можно порекомендовать дополнительно из моря книг по карьерной тематике действительно полезные для программистов и IT-ков книги, более подробно рассматривающие специфические вопросы или содержащие советы опытных отечественных разработчиков.', '- Как управлять своей карьерой (серия Гид HBR - Harvard Business Review), 2020;', '- Макдауэлл Г., Баваро Д. Карьера менеджера IT-проекта, 2014; ', '- Макдауэлл Г. Л. Карьера программиста, 6-е издание, 2020.', '- Джонс Д. Soft skills для IT-специалистов. Прокачай карьеру и получи работу мечты, 2022;', '- Борисов. Брать или не брать или Как собеседовать разработчика. 2019;', '- Правдина Е. Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным и не выгорать, 2021;', '- Швец В. От джуна до сеньора. Как стать востребованным разработчиком, 2022.', 'P.S. 2. Не следует забывать о основополагающих вопросах программной инженерии (Software Engineering).', 'Вода, одна вода. Все советы из разряда делайте хорошо, не делайте плохо. Общие поверхностные рассуждения. Жалко потраченных денег. Хотя, я могу ошибаться, составляйте своё мнение.', 'Осилил только 1/3 книги.', 'Отличная книга для ознаклмления с профессией! Понравился системный и структурированный подход. Если вы только начинаете свой путь в программировании, особенно, если вы начали изучение самостоятельно, то эта книга поможет понять, с чего начать и какую область программирования выбрать. Спасибо автору.']"
4.1;55;12;2014;4;643 стр.;609.0;Javascript и jQuery. Интерактивная веб-разработка;Джон Дакетт;https://www.litres.ru/book/dzhon-dakett/javascript-i-jquery-interaktivnaya-veb-razrabotka-22964956/;['Как то в свое время начинал изучать HTML и CSS с книги Джона Дакетта «HTML и CSS. Разработка и дизайн веб-сайтов». Автор очень понравился, его манера изложения, а также наглядная визуальная составляющая подачи материала. Так что для освоения и понимания основ JavaScript данная книга самое то. А без успешного освоения JavaScript ( и тем более его библиотеки Jquery) полноценные сайты делать не получится. Успехов друзья!', 'Советую изучать JavaScript по этой книге,здесь много практики,хорошо обьясняется некоторые аспекты самого языка, в каких слечаях лучше делать так,а не иначе и многое другое.Прочитав эту книгу,вы с легкостью сможете сказать что знаете JavaScript и его замечательную библиотеку jQuery.', 'Отличная книга: от самого простого (объекты, массивы, циклы и ветвления) до весьма сложных тем (AJAX, фреймворки, MVC). Все примеры скриптов, приведенных в этой книге дают красивые результаты, имеющие очевидную практическую значимость, потому что скрипты сразу же встроены в красивые веб-страницы, для которых уже написаны HTML и CSS. Благодаря этому, авторам книги удалось преодолеть традиционный недостаток методик изучения основ программирования, когда с первых уроков у обучающихся отбивают весь интерес, выводя результаты скрипта в диалоговые окошки (Alert и Promt) или в консоль, . Отличная книга!', 'Да, тоже не смог пройти мимо, чтобы не отметить интересный (визуальный) способ изложения контента. Также как и в описании книги jQuery изучил быстро.']
